assists_per_game,assists_per_game_allowed,blocks_per_game,blocks_per_game_against,field_goal_percentage,field_goal_percentage_allowed,free_throw_percentage,free_throw_percentage_allowed,losses,offensive_rebounds_per_game,offensive_rebounds_per_game_allowed,pf_per_game,pf_per_game_allowed,ppg,ppg_allowed,rebounds_per_game,rebounds_per_game_allowed,steals_per_game,steals_per_game_allowed,three_point_percentage,three_point_percentage_allowed,turnovers_per_game,turnovers_per_game_against,wins,won_tournament
14.1,13.4,2.8,3.3,45.3,41.9,68,67.3,11,12.6,11.9,19.8,19.7,74,70.5,39,36.5,8.9,8.7,32.3,29.4,17,17,20,0
15.7,13.4,3.6,3.3,45.4,41.3,59.7,69.5,8,13.4,10.7,23.3,19.7,77.2,70.7,38.6,36.9,9.3,6.9,32.7,32.3,17,20.2,22,0
16,10.2,3.7,3.1,47.7,39.5,69.9,71.1,4,10.6,6.9,17,16.2,71.3,55.4,36,27.8,7.2,5.6,34.5,34.1,11.6,13.9,27,0
16.2,14.1,4.4,2.1,47,41.1,70.1,66,8,11.9,9.5,17.4,17.5,72.6,64.1,38.1,31,6.4,7.5,34,35.3,15.6,14.3,23,0
15.1,15.4,4.6,2.9,44.6,42.3,73.3,68.8,10,11.6,11.5,17.5,18.9,75,70.7,37.5,36,7.2,8.4,35.9,34.2,15.3,14.8,21,0
15.2,13.4,3.2,2.4,47.7,43.2,66.7,70.9,11,9.2,10.9,16.9,21.1,74.2,71.5,35.5,34.3,6.5,8.5,34.8,31.6,16.3,13.9,17,0
16,14.1,2.7,3.4,47.9,46.5,70.8,69.5,7,11.7,9.3,17.7,18.7,79.1,73,35.7,32,9.4,6.7,37.7,36.1,15,16.9,24,0
14.3,11.9,2.7,2.8,43.2,42.6,65.5,68.3,7,10.6,9.1,18.9,19.7,68.8,64.6,35.6,33.9,7.4,7.9,34.9,34.5,15.2,15.8,21,0
13.5,9.8,2.4,2.8,43.5,40.7,74,67.2,9,7.5,8,18.3,17.6,62.1,55.2,29.5,31,7,5,35.7,33,11.8,15.2,22,0
16.6,13.9,3.9,3.2,48.6,42.8,70.9,67.4,8,10.1,11.3,19.6,18.8,79.1,69.6,36.2,35.4,10.2,7.8,38.8,30.4,15.8,18,23,0
15.9,13.9,5.6,2.8,45.7,40,73,69.4,6,10.6,10.8,14.7,21.6,76.4,67.2,38.5,35.7,7.5,6.6,32.2,34,15.1,16.9,26,0
13.4,13.2,3.5,2.9,42.9,42.7,60.3,68.1,14,11.9,12.3,20.8,18.2,74.4,69.8,34.4,40.3,11.2,6.3,35.1,36.1,14.5,21.2,19,0
12.9,11.5,3,3.4,41.3,41,65.5,68.5,9,13.5,9.8,17.1,19.1,71.3,64.4,39.5,35.6,7.3,5.6,32.6,31.7,13.2,16.3,23,0
13.8,14.5,4.3,2.2,45.3,42.3,61.2,67.4,8,11.5,12.2,17.1,19.1,74.2,69,36.7,38.3,8.3,5.9,40.1,33.1,13.6,16.6,22,0
13.9,11.7,2.8,3.3,47.1,38.6,65.9,68.4,7,9.3,8.4,16.5,18.9,68,55.7,34.2,30.6,7.6,5.8,37.7,31.7,12.4,15.5,23,0
14.3,12.5,5,2.9,45.1,38.3,70.7,69.9,5,13.4,10.8,17.8,18.5,73.6,63.6,42.5,37.1,8.9,7,35.6,30.1,15.5,16.6,25,0
15.5,11.8,6.6,2.5,48,38.3,70.3,65.2,3,11.2,10.6,17.1,21.5,77.6,61.5,38.7,34.1,7,5.9,36.1,33.3,13.5,16.2,28,0
15.1,13.8,5,3.2,46.2,39.6,72.8,70.9,9,12.8,12,17,17.1,74.6,65.3,38.9,33.8,6.6,7.1,38.6,32.2,14.1,13.7,24,0
15.2,13.6,2.3,2.3,47.7,43.3,72.1,71.8,9,8.4,8.8,18.3,18.5,73,66.4,33,30.8,7.9,7.2,41.6,34.9,14.6,14.9,23,0
13.3,12.2,2.2,3.2,43.3,42.7,71.3,69.7,8,13.1,10.5,18.1,19.5,71.4,64.9,37.3,32.8,6.9,5.8,36.9,31.1,13.8,14.5,22,0
14.8,12.4,3.8,3,45.3,42.2,67.1,64.9,10,14.2,10.4,18.1,17.7,72.3,64.3,39.4,31.5,8.1,7.4,34.5,32.4,16.3,16,21,0
17.2,13.9,5.6,3.6,48.1,41.7,74.2,67,4,11.9,13.6,16.3,20.2,88,71.3,38.6,37.7,9.8,7.1,38.3,35.7,14.1,18,27,0
16.5,13.3,3.8,3.5,48,42,70.9,63.9,7,12.8,10.4,20.2,21.5,83.8,68.9,39.8,34.2,9.9,7,36.3,32.8,16.3,19.5,24,0
19.2,16.5,4.7,1.9,47.1,42.3,70.3,68.4,9,11.5,14.7,17.6,17.9,82.3,76.7,38.6,41.4,8.2,7.9,35.1,32.4,14.9,15.3,24,0
16.6,13,4.3,2.4,48.1,38.8,66.4,68.6,8,10.3,11.1,18.4,20.3,77.7,65.9,38.2,35.6,5.8,6.1,36.3,30.6,13.3,14.6,24,0
14,11.6,4,2.5,45.6,41.6,68.7,72,6,11.6,8.3,18.2,18.6,74.4,63.2,37.3,32.8,8.7,6.6,35.9,33,13.4,16.6,24,0
15.6,12.7,3.7,3.1,43.3,40.4,68.9,68.5,9,10.7,9.9,19.3,20.4,75.8,65.6,36.8,36.7,9.3,6.1,35.5,30.8,14.3,18.2,21,0
16.2,13.3,4.9,3.6,47.8,38.8,70.7,68.7,8,9.9,12.2,18,21,77.7,68.4,38.8,37,7.5,6.9,37.6,33.2,14.6,16,20,0
12.7,12.8,3.3,2.6,43.5,43.7,70.5,69.2,9,8.8,8.6,17.2,18.2,66.8,63.4,33.2,34.5,9,6.4,35.5,34.3,13.1,16.3,22,0
17.1,13.2,6.9,3.8,45.1,41.8,72.5,68.7,10,12.7,12.7,19.6,21.5,78.8,75.9,40.9,38,7.5,9.8,34.4,32.9,17.9,16.4,20,0
15.3,11.4,3.2,4.8,48.5,41.3,70.3,73.4,4,10.7,9,15.2,20.6,78.3,65.1,38.5,32.2,7.5,6.8,36.7,32.8,14,15.7,29,0
12.3,11.1,5.1,3.7,40.8,40.3,63.9,64.4,15,13.4,12.2,20.7,22.2,66.6,68.2,40.6,37.5,7.6,9.8,24.8,34,19.2,18.2,17,0
