@relation tournament_winnersStripped

@attribute assists_per_game numeric
@attribute blocks_per_game numeric
@attribute field_goal_percentage numeric
@attribute field_goal_percentage_allowed numeric
@attribute losses numeric
@attribute offensive_rebounds_per_game numeric
@attribute pf_per_game numeric
@attribute ppg numeric
@attribute rebounds_per_game numeric
@attribute rebounds_per_game_allowed numeric
@attribute steals_per_game_allowed numeric
@attribute three_point_percentage numeric
@attribute three_point_percentage_allowed numeric
@attribute turnovers_per_game numeric
@attribute wins numeric
@attribute won_tournament {0,1}

@data
14.2,3.1,44.4,44.8,9,12.1,17.6,73.7,36,33.4,6.4,35,30.5,14.9,21,0
10.5,3.9,39.2,42.7,13,15.1,20.2,70.2,40.9,37.1,6.2,33.3,37.6,14.1,20,0
16.9,3.2,50,42.2,10,7.2,16.5,72.6,31.1,30.4,7.2,38.9,33.6,13.6,21,0
12.4,5.1,44.5,38,6,9.5,17.5,69.4,36.4,35.9,6.6,34.6,29.9,15.4,22,0
14.3,6.2,43.3,39.8,9,11.8,17.2,71.7,37.7,39.3,6.8,36.5,32,14.8,20,0
12.3,2.7,44.7,41.2,9,12.3,18,68.9,36.6,33.7,7.6,34.6,36.1,15.8,21,0
16.4,2.7,46.4,44.2,7,11.4,16.2,73.7,34.2,34.4,6.2,31.4,35.4,12.1,24,0
12.2,3.8,43.2,41.6,13,10.1,20.1,64.4,35.2,34.1,8.6,33.8,36.6,17.8,19,0
17.2,5.3,46.8,35.2,3,11.4,16.5,78.9,42.2,32.5,6.5,40,29.8,14.6,26,0
17.6,5.2,46.9,40.6,5,12.2,15.8,75,37.5,33.6,6.9,35.5,32.6,14,24,0
14.1,4.1,41.4,36.2,5,12.9,13.7,68.5,38.5,34.2,4.2,34.5,32.5,9.6,26,0
14.5,5.6,45,40.5,6,13.1,18.7,79.7,39.7,36.9,7.5,36.1,31.9,15.8,24,0
14.7,4.9,47,38.6,8,11.3,18,74.5,39.1,35.1,8,37.8,31.7,15.6,23,0
17.2,4.7,47.2,39.3,4,11.4,19.7,80.4,37.8,36.4,7.8,34.6,32.8,15.4,29,0
16.5,4.4,48,42.6,11,12.2,18.9,75.5,37.8,34.1,6.9,37.1,33.2,16.6,19,0
12.1,2.2,41.5,38.6,12,9.3,18.4,60.1,35,34.8,5.6,37.2,28.7,13.4,18,0
20.1,4.5,45.5,42.9,7,13,20,82.2,41.7,37.8,7.4,31.6,32.1,15.8,23,0
15.5,2.8,48.2,42.8,8,8.8,18.3,70.4,33.8,28.9,7,38.7,36.3,14.4,22,0
14.3,3.7,46.6,40.3,5,10.9,17.1,70.5,36.6,33.2,6.6,36.2,35.3,13.2,28,0
14.2,3.8,44.5,41.2,12,11.3,17.3,66.5,36.4,31,8.6,36.8,34.9,16.8,19,0
13.2,3.3,42.2,39.6,8,11.5,19.4,72.3,39.2,35.8,6.6,35.7,30.1,15.5,21,0
13.3,2.8,42.7,39.7,13,7,18.3,59.9,31.1,32.7,5.2,34.4,34.3,11.2,18,0
13.4,2.8,43.8,38.3,8,10,16.5,68.2,38.2,37.3,8.4,32.8,29.8,16.9,22,0
16.3,4.4,47.6,39.7,7,12.3,17.5,81.3,39.8,32.9,6.4,35.5,30.5,15,23,0
15.3,4,44.3,40.4,10,11.4,21.2,79.9,36.5,42.6,6.2,36.8,30.5,14.5,20,0
14.3,3,45.4,43.8,4,13.5,20.4,79.6,36.8,35.3,6.3,35.3,33.5,13.2,26,0
12.2,2.8,46,43.8,7,8.1,15.8,69.6,29.6,32.3,4.6,40.7,35,11.8,23,0
12.5,3.2,45.9,41.4,8,7.7,20.9,70.4,31.8,31.5,5.8,38.1,32.3,13.7,23,0
16.5,2.1,47.9,43.6,10,8.1,18.4,74.3,32.2,33.1,5.7,35,37.8,13.7,20,0
12.9,3.5,44.4,43,9,11.9,19,73.9,34.7,35.5,4.3,35.6,34.1,10.8,23,0
15.3,3.6,44.2,42.8,7,10,20.2,72.7,33.9,32.8,6.1,35.9,34.1,13.3,24,0
18.6,2.3,48.8,44.9,9,9.2,22.4,82.7,35.5,35.9,7,39.4,32.9,14.9,22,0
18,5.1,48.1,41.6,4,12.4,16.9,90.7,38.5,37.5,7.3,38.5,34.4,13.6,29,1
16.3,3.7,47.2,45.3,9,10,18.5,82.4,36.6,36.8,7.3,39,33.7,14,21,0
17.4,3.6,48.1,42,6,8.5,19,80.9,37,34.6,6.6,38.3,30.1,14.5,23,0
18,6.4,47,41.6,6,10.5,19,81.5,37.5,39.1,7.2,33.6,32,16.6,25,0
13.7,4.3,45.7,43.5,11,10.6,18.2,70.9,33.9,33.7,6.4,32.3,35.8,14.2,18,0
16.6,6,43.7,38.8,7,16.2,21,78,44.9,35.6,8.8,33.2,34.3,16.7,23,0
15,4.8,46.4,43.4,14,10.7,18.1,72.8,38.5,33.7,8.6,34.5,34.8,15.6,16,0
13.2,3.8,44.9,45.6,4,11.4,18.1,79.4,34.5,34.7,5.9,35.4,31.4,12.8,28,0
16.3,4.5,42.6,40.7,12,9.7,21.5,75.6,37.7,39.9,6.7,37.1,31.7,15.7,17,0
16.2,4,51,39.5,6,9.7,18.7,82.4,38.5,33.3,6.3,40.4,34.6,14.4,24,0
13.9,5.8,46,41.5,6,12,18.5,77.1,40.2,37.7,6.9,34.7,34.3,15.2,24,0
17.8,2.5,46.8,45.6,14,9.6,19.4,72.4,32.3,32.6,7.5,34.5,36.7,16.5,17,0
13.2,4,47.1,40.2,4,10.7,17.7,72.6,37.6,32.1,7.4,33.1,30.1,16.6,26,0
12.8,5.2,44.5,38.2,7,11.6,19.4,67.8,38.6,30.6,7.9,35,35.1,16.9,22,0
15.8,4.2,45.7,38.6,7,12.1,22,78.1,39.7,33.1,6.2,36.9,32.6,15.1,24,0
15.2,5.2,45,39.5,12,10,18.9,70.4,37.2,35.3,7.5,35.6,33,14.4,21,0
15.3,2.9,46,46.2,11,8.8,16.8,72.9,31.2,34.5,5.1,35.8,36.2,11.8,21,0
14.6,5.5,48.1,41.7,10,9.7,21.7,77.2,37.5,35.5,8,38.3,32.8,16.9,22,0
13.5,2.4,43,43.5,11,12.1,22.3,74.1,38.6,31.9,6.4,36.6,33.9,14.9,22,0
13.8,3.3,47.4,41.7,5,11.1,20.5,79.1,39.6,30.8,6.5,41.7,33.8,15,25,0
19.3,5.1,50.2,37.8,6,12.2,19.6,82,42.6,35,8.5,39.4,33.4,16.1,24,0
15.7,4.5,47.9,40.8,9,12.2,18.6,79.5,38.6,35.7,6.7,34.7,35.5,15,22,0
19.2,5.9,48.4,40.4,10,13.5,19.8,85.2,41.1,36,7.3,38,34.3,14.5,21,0
